nombre,SARE,descripcion,municipio_id
DISTRIBUIDORA DE CALZADO,1,Establecimiento dedicado principalmente al comercio de calzado  ,Toluca
COMERCIALIZADORA DE ARTÍCULOS DE PAPELERÍA,1,"Establecimiento dedicado al comercio de artículos de papelería, para uso escolar y de oficina ",Toluca
COMERCIALIZADORA DE LIBROS,1,Establecimiento dedicado al comercio de libros  ,Toluca
DISTRIBUIDORA DE REVISTAS Y PERIÓDICOS,1,Establecimiento dedicado al comercio de revistas y periódicos  ,Toluca
TIENDA DE ABARROTES Y/O MISCELÁNEA,1,"Establecimiento dedicado al comercio al por menor de abarrotes, como: refrescos, galletas y productos enlatados ",Toluca
RECAUDERÍA,1,Establecimiento dedicado principalmente al comercio de frutas y verduras frescas ,Toluca
VENTA DE HUEVO,1,Establecimiento dedicado principalmente al comercio  de huevos de gallina y de otras aves de corral ,Toluca
COMERCIO DE SEMILLAS Y GRANOS ALIMENTICIOS ESPECIAS Y CHILES SECOS,1,"Establecimiento dedicado al comercio al por menor de semillas y granos alimenticios, especias, condimentos y chiles secos ",Toluca
VENTA DE LÁCTEOS Y CARNES FRÍAS,1,"Establecimiento dedicado al comercio de leche procesada, otros productos lácteos (como queso, crema, mantequilla, yogurt) y todo tipo de embutidos (chorizo, salchicha, longaniza, jamón, mortadela y queso de puerco) ",Toluca
VENTA DE DULCES Y MATERIAS PRIMAS PARA REPOSTERÍA,1,"Establecimiento dedicado al comercio de dulces, chocolates, chicles, polvos para gelatinas, saborizantes, colorantes y otras materias primas usadas en la elaboración de alimentos como: conservadores, esencias  ",Toluca
PANADERÍA Y PASTELERÍA,1,"Establecimiento dedicado al comercio de pan, pasteles, repostería fina como: galletas, empanadas, bocadillos, gelatinas y miel ",Toluca
VENTA DE REFRESCOS AGUA EMBOTELLADA Y HIELO EMPAQUETADO,1,"Establecimiento dedicado al comercio de refrescos, jugos y néctares envasados, hielo empaquetado, agua embotellada purificada o mineralizada (de origen) ",Toluca
BOUTIQUE Y/O VENTA DE ROPA NUEVA TEXTIL,1,Establecimiento dedicado al comercio de ropa nueva  ,Toluca
BOUTIQUE Y/O VENTA DE ROPA NUEVA DE CUERO Y PIEL,1,"Establecimiento dedicado al comercio de ropa de cuero, piel, materiales sucedáneos (chamarras, chalecos, faldas) y otros artículos de estos materiales como: bolsas, portafolios, maletas, cinturones, guantes y carteras ",Toluca
ZAPATERÍAS,1,Establecimiento dedicado principalmente al comercio de calzado ,Toluca
VENTA DE PRODUCTOS FARMACÉUTICOS FARMACIAS,1,Establecimiento dedicado a la venta de productos farmacéuticos de patente ,Toluca
VENTA DE MEDICAMENTO HOMEÓPATA,1,Establecimiento dedicado a la venta de productos farmacéuticos homeópatas ,Toluca
FARMACIA SIN MINISÚPER,1,"Establecimiento dedicado al comercio de medicamentos de patente  y de preparaciones químicas realizadas en el establecimiento comercializador, para consumo humano ",Toluca
VENTA DE PRODUCTOS NATURISTAS Y COMPLEMENTOS ALIMENTICIOS,1,"Establecimiento dedicado al comercio de productos naturistas (alimentos, hierbas medicinales, cosméticos, cremas a base de productos naturales) y complementos alimenticios ",Toluca
VENTA DE ARTÍCULOS DE PAPELERÍA,1,"Establecimiento dedicado principalmente al comercio de artículos de papelería, como: cuadernos, plumas, gomas, lápices y cartulinas ",Toluca
LIBRERÍAS,1,Establecimiento dedicado principalmente al comercio de libros ,Toluca
VENTA DE PERIÓDICOS Y REVISTAS,1,Establecimiento dedicado al comercio de periódicos y revistas ,Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE  ARTÍCULOS DE PERFUMERÍA,1,"Establecimiento dedicado al comercio de perfumes, colonias, lociones, esencias, cosméticos y otros artículos de belleza como: peines, espejos, rizadores, uñas postizas, limas y  ceras depiladoras ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE:ARTÍCULOS DE JOYERÍA Y ACCESORIOS DE VESTIR,1,"Establecimiento dedicado al comercio de joyas finas, bisutería, piedras preciosas, relojes y otros accesorios de vestir como: cinturones, sombreros, bolsas y artículos para cabello  ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE JUGUETES,1,"Establecimiento dedicado al comercio de juguetes, bicicletas, triciclos y refacciones de los mismos ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE ARTÍCULOS Y APARATOS DEPORTIVOS,1,"Establecimiento dedicado al comercio de artículos y aparatos para gimnasios,  centros deportivos, artículos para pesca, cacería, campismo y uniformes deportivos ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE ELECTRODOMÉSTICOS MENORES Y APARATOS DE LÍNEA BLANCA,1,"Establecimiento dedicado al comercio de televisores, estéreos, lavadoras, estufas, refrigeradores, máquinas de coser y aparatos de línea blanca  ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE MATERIAS PRIMAS AGROPECUARIAS,1,"Establecimiento dedicado al comercio de materias primas para uso agrícola, pecuario y forestal, como: fertilizantes, abonos y  plaguicidas",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE MEDICAMENTOS VETERINARIOS Y ALIMENTOS PARA ANIMALES,1,Establecimiento dedicado al comercio de alimentos preparados para animales y medicamentos veterinarios ,Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE MATERIAS PRIMAS PARA OTRAS INDUSTRIAS,1,"Establecimiento dedicado al comercio de materias primas para la industria en general (alimentaria, del mueble, del vidrio y del metal)  ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE EQUIPO Y MATERIAL ELÉCTRICO,1,"Establecimiento dedicado al comercio de equipo y material eléctrico para alta y baja tensión, como motores eléctricos, transformadores, generadores, acumuladores, baterías y material para instalaciones eléctricas e iluminación ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE  VIDRIOS Y ESPEJOS,1,"Establecimiento dedicado al comercio de vidrio (laminado, templado, esmerilado, gravado), espejos y vitrales ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE EQUIPO DE TELECOMUNICACIONES FOTOGRAFÍA Y CINEMATOGRAFÍA,1,"Establecimiento dedicado al comercio de aparatos de telefonía, fax, radiocomunicación, cámaras profesionales, semiprofesionales de captación de imágenes, así como instrumentos, accesorios fotográficos y cinematográficos ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE ARTÍCULOS Y ACCESORIOS PARA DISEÑO Y PINTURA ARTÍSTICA,1,"Establecimiento dedicado al comercio de artículos para dibujo técnico y artístico, artículos para ingeniería, arquitectura, y material para artes gráficas  ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE MOBILIARIO EQUIPO E INSTRUMENTAL MÉDICO Y DE LABORATORIO,1,"Establecimiento dedicado al comercio de muebles, equipo, material e instrumental para uso médico, odontológico, oftálmico y para laboratorio  ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE MAQUINARIA Y EQUIPO PARA SERVICIOS Y ACTIVIDADES DEL RAMO COMERCIAL,1,"Establecimiento dedicado al comercio como: rebanadoras, básculas, refrigeradores comerciales, estantería y vitrinas ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE MAQUINARIA Y EQUIPO PARA SERVICIOS Y ACTIVIDADES PARA LA INDUSTRIA RESTAURANTERA Y ALIMENTICIA,1,"Establecimiento dedicado al ramo como: parrillas, asadores, hornos, quemadores, baterías para restaurantes y  molinos de tortillerías",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE MAQUINARIA Y EQUIPO PARA SERVICIOS,1,"Establecimiento dedicado al comercio de maquinaria y equipo para salas de belleza, peluquerías y spa ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE EQUIPO Y ACCESORIOS DE CÓMPUTO,1,"Establecimiento dedicado al comercio de computadoras, equipo periférico, equipo de redes, consumibles como: papel para impresora, discos duros y flexibles, cintas para impresoras, toner, accesorios y refacciones ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE MOBILIARIO Y EQUIPO DE OFICINA,1,"Establecimiento dedicado al comercio de mobiliario y equipo de oficina, como: escritorios, archiveros, máquinas de escribir, calculadoras, engargoladoras, máquinas contadoras de billetes, proyectores y  máquinas verificadoras de billetes  ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE MAQUINARIA Y EQUIPO DE USO GENERAL,1,"Establecimiento dedicado al comercio de equipo para soldar, equipo y ropa industrial de alta seguridad, patines de carga, gatos hidráulicos, tanques estacionarios de gas (vacios) y contenedores de uso industrial  ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE TELAS,1,Establecimiento dedicado principalmente al comercio de telas ,Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE BLANCOS,1,"Establecimiento dedicado al comercio de blancos como:  manteles, toallas, sábanas almohadas, cojines, servilletas, cobertores, colchas, cobijas, carpetas, cortinas terminadas y edredones ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE ARTÍCULOS DE MERCERÍA Y BONETERÍA,1,"Establecimiento dedicados principalmente al comercio de artículos de mercería como: cierres, encajes, hilos, estambres, hilazas y botones ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE ACTIVIDAD DE MANUALIDADES,1,Establecimiento dedicado principalmente al comercio de productos para la elaboración de accesorios y manualidades diversos,Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE ROPA Y ACCESORIOS DE VESTIR,1,"Establecimiento dedicado al comercio de ropa nueva, de cuero, piel y de vestir ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE ROPA NUEVA PARA OCASIONES ESPECIALES,1,"Comercio de trajes regionales, disfraces, pieles finas, vestidos para novia y uniformes de gala ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE ACCESORIOS DE VESTIR,1,"Establecimiento dedicado principalmente al comercio de bisutería y accesorios de vestir como: pañoletas, mascadas y guantes ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE PAÑALES DESECHABLES,1,Establecimiento dedicado al comercio de pañales desechables y toallas sanitarias ,Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE SOMBREROS,1,Establecimiento dedicado al comercio de sombreros ,Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE LENTES,1,"Establecimiento dedicado al comercio de anteojos graduados y para sol, lentes de contacto y sus accesorios",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE APARATOS ORTOPÉDICOS,1,"Establecimiento dedicado al comercio de artículos ortopédicos como: prótesis, muletas, sillas de ruedas y  zapatos ortopédicos ",Toluca
COMERCIO DE PRODUCTOS ESPECIALIZADOS DE ARTÍCULOS DE PERFUMERÍA,1,Establecimiento dedicado al comercio de artículos de perfumería y belleza ,Toluca
