nombre,descripcion,municipio_id
Escritorios públicos,"Prestación de servicios de mecanografía, captura y formación de textos, corrección de estilo, fotocopiado y fax",Huixquilucan
Estudio fotográfico,Servicio de toma y revelado de fotografías,Huixquilucan
Filatelia y numismática,"Compra-venta de estampillas postales, monedas y papel moneda",Huixquilucan
Galería de arte,Exposición y venta de obras artísticas y antigüedades,Huixquilucan
Imprenta,"Servicio de impresión, elaboración de rótulos y encuadernación",Huixquilucan
Joyerías,"Compra, venta, hechura y reparación de joyas",Huixquilucan
Juguetería,Venta  al menudeo y mayoreo de juegos y juguetes para toda la familia,Huixquilucan
Lavado de alfombras tapetes y similares,"Servicio de lavado y mantenimiento de alfombras, tapetes y similares",Huixquilucan
Mantenimiento y reparación de aparatos domésticos,Establecimientos dedicados a la reparación de todo tipo de aparatos electrodomésticos,Huixquilucan
Máquinas expendedoras de mercancía,"Venta, renta o consignación de maquinas expendedoras de productos",Huixquilucan
Mercería y bonetería,"Compra-venta de  cierres, encajes, hilos, estambres, hilazas, botones y todo lo relacionado con la costura y confección",Huixquilucan
Mudanza,"Servicio de transportación y flete de enseres domésticos, equipo de oficina y comercial dentro del territorio nacional o en el extranjero",Huixquilucan
Mueblerías,Compra-venta de muebles de cualquier material,Huixquilucan
Orfebrería,Compra-venta de utensilios o adornos fabricados con metales preciosos o aleaciones de ellos,Huixquilucan
Peletería,Comercio de prendas de vestir de cuero o piel,Huixquilucan
Perfumería,"Venta de perfumes  envasados o a granel, artículos de tocador, cosméticos y similares",Huixquilucan
Pisos azulejos y baños,Establecimiento dedicado principalmente a la compra-venta de productos prefabricados para la construcción y decoración,Huixquilucan
Plomería,"Servicio de plomería en general, reparación de instalaciones hidrosanitarias",Huixquilucan
Producción artesanal de artículos para decoración,"Compra-venta, producción y promoción de productos elaborados de barro, cerámica, orfebrería y otro materiales de manera manual",Huixquilucan
Producción de video videoclip y material audiovisual,Servicio de filmación y producción de equipo audiovisual,Huixquilucan
Productos de arte,Venta de accesorios para pintura y escultura artística,Huixquilucan
Productos de belleza,"Venta de cosméticos y perfumería, incluye peines, cepillos, espejos, rizadores, uñas postizas, limas, ceras y accesorios",Huixquilucan
Regalos,"Compra-venta de artículos de ornato o decoración como artesanías, oleos, arreglos florales, juguetes, dulces, chocolates, relojes, discos, tarjetas, peluches y carteras",Huixquilucan
Relojerías,Compra-venta de relojes,Huixquilucan
Servicio de mantenimiento de bienes inmuebles,Servicio de mantenimiento y de limpieza residencial y comercial,Huixquilucan
Servicio de mensajería y paquetería,Servicio de entrega de paquetería en territorio nacional en internacional,Huixquilucan
Servicios de enfermería,Servicio de enfermería y cuidados especiales para pacientes  no hospitalizados,Huixquilucan
Servicios veterinarios para la ganadería,Servicio medico veterinario para animales de la industria ganadera,Huixquilucan
Sistemas de seguridad,"Compra-venta, instalación y alquiler de equipo de seguridad",Huixquilucan
Suministro de alimentos a empresas,Servicio de suministro de alimentos a empresas para comedores y eventos,Huixquilucan
Suministro de bufets y banquetes,Servicio de suministro de alimentos para eventos privados,Huixquilucan
Talabartería,"Fabricación y venta de artículos de cuero o guarniciones para caballerías, así como a la fabricación o arreglo de sillas de montar, albardas y aparejos",Huixquilucan
Taller de cancelería y aluminio,"Diseño y fabricación de cancelería, vidrio y aluminio",Huixquilucan
Tapicería y reparación de muebles de asiento,"Diseño, fabricación y reparación de todo tipo de muebles de asiento",Huixquilucan
Telas casimires y similares,Venta de telas para su uso en la industria de la confección y decoración,Huixquilucan
Tienda naturista,Compra-venta de alimentos y suplementos de origen natural,Huixquilucan
Venta de alimentos preparados,Elaboración y venta de alimentos preparados para consumos en el punto o para llevar,Huixquilucan
Venta de CD y DVD,Compra-venta de cd y DVD,Huixquilucan
Venta de artículos fotográficos,Compra-venta de equipo y material fotográfico y sus accesorios,Huixquilucan
Venta de maquinaria agrícola,Compra-venta  de maquinaria agrícola,Huixquilucan
Venta de material sanitario,Compra-venta de equipo y material de limpieza para equipamiento de sanitarios,Huixquilucan
Venta de mercancía por telecomunicaciones,Venta de diversos productos a través de un call center,Huixquilucan
Venta de productos por correo o catálogos,Venta de productos a través de catálogos,Huixquilucan
Venta de uniformes,"Compra-venta y confección de todo tipo de uniformes escolares, industriales y ejecutivos",Huixquilucan
Vestidos de novia,Compra-venta de vestidos de novia y accesorios,Huixquilucan
Videoclub,Compra-venta y alquiler de películas y series de televisión en todos los formatos,Huixquilucan
Cafeterías,Elaboración y venta de productos derivados del café,Huixquilucan
Cocinas económicas y fondas,Venta de comida elaborada para consumo en el local o para llevar,Huixquilucan
Jugos y licuados,Venta y elaboración de jugos naturales y licuados,Huixquilucan
loncherías,Alimentos preparados,Huixquilucan
Merenderos,"Elaboración y venta de café chocolate caliente, pan, churros, tamales y postres",Huixquilucan
Ostionerías,Venta y elaboración de coctelera de mariscos y pescados,Huixquilucan
Paleterías y neverías / fuente de sodas,"Venta y elaboración de paletas, helados y raspados",Huixquilucan
Pizzerías,Venta y elaboración de pizza y espagueti para consumo en el local o para llevar,Huixquilucan
Restaurantes,Venta de comida elaborada para consumo en el local o para llevar,Huixquilucan
Taquerías,Venta y elaboración de tacos para consumo en el local o para llevar,Huixquilucan
Torterías,Venta y elaboración de tortas para consumo en el local o para llevar,Huixquilucan
Centro de atención a enfermos mentales,Hospital psiquiátrico,Huixquilucan
Centros de consultorios y de salud,Consulta medica externa al publico en cualquiera de sus especialidades consulta homeopática  o alternativa y acupuntura,Huixquilucan
Centros de integración juvenil,"Centro dedicado a la investigación, prevención, tratamiento y rehabilitación del consumo de tabaco, alcohol y otras drogas",Huixquilucan
Consultorio de nutrición,Atención especializada en nutrición para adultos y niños,Huixquilucan
Consultorio de quiropráctico,"Especialistas en el diagnostico,  tratamiento y  prevención de los trastornos del sistema neuromusculoesquelético",Huixquilucan
Consultorio médico,Consulta medica externa al publico en cualquiera de sus especialidades consulta homeopática  o alternativa y acupuntura,Huixquilucan
Consultorio médico veterinario,Proporciona servicios médicos a mascotas domesticas,Huixquilucan
Consultorio psicológico,Especialista dedicado a la atención de aspectos relacionados con el comportamiento humano,Huixquilucan
Consultorios dentales,Especialista dedicado a la atención de todo lo relacionado con la salud dental,Huixquilucan
Laboratorio radiográfico y de ultrasonido,Centro especializado en la impresión de estudios radiográficos y ultrasonido para su uso medico,Huixquilucan
Laboratorios de análisis clínicos y de diagnostico,"Análisis de muestras biológicas humanas que contribuyen al estudio, prevención, diagnostico y tratamiento de las enfermedades",Huixquilucan
