nombre,giro,horario,direccion,latitud,longitud,ciudad
JIREH,"RECAUDERIA, VERDULERÍA, FRUTERÍA",De 06:00 a 23:00 horas de Lunes a Domingo,TIERRA Y LIBERTAD 2A C.P. 56608,19.2780458,-98.886823,Chalco
MAXIMA EXPRESION,MATERIAL ELÉCTRICO,De 06:00 a 23:00 horas de Lunes a Domingo,PENSAMIENTOS 116 LT 1,19.2595979,-98.917089,Chalco
CAFETERIA VILLALMONTE,CAFETERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,HIDALGO # 1 C.P. 56646,19.2565594,-98.81832,Chalco
CASPED,FARMACIA,24 horas del día de Lunes a Domingo,BUGAMBILIAS 5 MZ148 LT 27,19.2575621,-98.913956,Chalco
DULCERÍA HIDALGUENSE,DULCERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,EMILIANO ZAPATA No. 6.,19.2265558,-98.925747,Chalco
LA VENTANITA,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,PLAZA MAYOR LOTE 1,19.2692196,-98.852834,Chalco
BETO´S,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,AQUILES SERDAN MZ08 LT01 ZN06,19.2681359,-98.896608,Chalco
FARMACIA DEL NIÑO JESUS,FARMACIA,24 horas del día de Lunes a Domingo,NARANJO MZ 17 LT 40,19.2663939,-98.900427,Chalco
COCINA ECONÓMICA DANI,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,AV. HERNAN CORTEZ S/N.,19.2103464,-98.924986,Chalco
FARMACIA NUESTRA SEÑORA  DE GUADALUPE,FARMACIA,24 horas del día de Lunes a Domingo,CARRETERA CHALCO-MIXQUIC No. 84,19.2255023,-98.926928,Chalco
CONSULTORIO MEDICO,CONSULTORIO DE ESPECIALIDADES MÉDICAS,24 horas del día de Lunes a Domingo,CARRETERA CHALCO-MIXQUIC No. 84,19.2256441,-98.926992,Chalco
FARMACIA LAURA,FARMACIA,24 horas del día de Lunes a Domingo,JAZMIN S/N,19.2104122,-98.92306,Chalco
ANTOJITOS MAGO,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,CAMINO A MASECA S/N DENOMINADO AJUSTES BARRIO SANTA MARIA,19.2229088,-98.929578,Chalco
ASESORES FISCALES Y CONTABLES,OFICINA O DESPACHO,De 06:00 a 23:00 horas de Lunes a Domingo,CUAUHTEMOC PTE. # 140 LOCAL 2T,19.2748911,-98.885632,Chalco
ESTETICA EN LA PRIMERA DEL LLANO,SALÓN DE BELLEZA/ ESTÉTICA,De 06:00 a 23:00 horas de Lunes a Domingo,LAZARO CARDENAS # 5 C.P. 56644,19.2766988,-98.828464,Chalco
LIBRERIA BIBLICA PRECIOSA SANGRE DE CRISTO,ARTÍCULOS RELIGIOSOS,De 06:00 a 23:00 horas de Lunes a Domingo,HIDALGO # 16 C.P. 56600,19.2600436,-98.898668,Chalco
AIRESI,CAFETERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,12 DE OCTUBRE MZ 23 LT 11,19.2700704,-98.889956,Chalco
LUZ COSMICA,TIENDA NATURISTA,De 06:00 a 23:00 horas de Lunes a Domingo,PINO SUAREZ S/N,19.2066078,-98.956384,Chalco
HERBOLARIA JULIA,ARTÍCULOS ESOTÉRICOS,De 06:00 a 23:00 horas de Lunes a Domingo,CARRILLO PUERTO #7,19.2640442,-98.898185,Chalco
ARNOLD GYM,GIMNASIO,De 06:00 a 23:00 horas de Lunes a Domingo,INDEPENDENCIA S/N C.P. 56646,19.2579774,-98.816571,Chalco
